2008,2181,3530,3422,1016,2720,974,2467,750,1320
2004,2200,3502,3375,1011,2725,1030,2416,740,1311
1971,2191,3511,3427,922,2725,974,2425,764,1325
2022,2219,3516,3394,945,2715,1020,2486,759,1325
2055,2214,3497,3422,1030,2739,1081,2486,797,1325
1975,2176,3493,3403,1016,2696,983,2406,750,1325
1999,2181,3479,3422,1020,2725,978,2495,750,1343
2004,2200,3502,3394,997,2725,1011,2463,778,1301
1999,2233,3479,3427,1016,2725,959,2420,801,1325
1994,2209,3507,3371,1039,2715,983,2416,782,1311
2008,2237,3497,3418,1030,2706,978,2458,736,1334
1985,2200,3488,3399,1030,2762,1006,2519,801,1306
1980,2186,3483,3413,1006,2687,1039,2425,773,1311
1994,2158,3479,3394,1053,2725,988,2458,754,1339
1999,2219,3507,3385,1006,2715,1034,2472,778,1311
2013,2200,3507,3385,1053,2725,992,2481,740,1315
2008,2209,3525,3380,1030,2720,988,2416,750,1306
1985,2162,3488,3418,1016,2720,1006,2411,792,1301
1999,2191,3497,3408,1002,2743,992,2509,736,1329
1994,2176,3493,3385,955,2739,988,2444,787,1339
1994,2214,3502,3399,1020,2739,1053,0,0,1315
2004,2176,3479,3432,983,2715,1011,2463,792,1287
1980,2214,3497,3427,1006,2715,1006,2430,764,1311
1994,2205,3497,3385,988,2720,988,2420,754,1358
2022,2191,3511,3385,1030,2725,1016,2425,764,1348
1999,2219,3497,3371,988,2725,992,2448,768,1311
2013,2176,3488,3380,974,2706,1034,2467,782,1325
1999,2205,3469,3385,978,2706,974,2495,801,1301
1989,2186,3493,3413,1006,2687,1011,2453,778,1353
1980,2205,3525,3389,983,2753,974,2481,782,1334
2018,2195,3507,3413,1044,2729,1016,2463,750,1297
2032,2228,3502,3389,983,2757,964,2453,759,1315
1994,2153,3516,3380,983,2729,1034,2458,750,1325
2008,2153,3483,3408,1067,2729,1006,2514,782,1325
2022,2191,3497,3446,1044,2725,988,2439,787,1329
2013,2176,3464,3403,1034,2711,1034,2444,754,1329
2008,2205,3479,3403,1063,2748,1044,2467,787,1311
1980,2209,3497,3394,992,2739,1011,2448,745,1329
1994,2176,3502,3399,1002,2725,1044,2458,764,1353
1999,2181,3488,3413,1020,2692,1002,2444,768,1297
1989,2195,3493,3408,988,2706,1020,2491,782,1320
2032,2214,3511,3399,1006,2706,983,2453,745,1339
2004,2191,3502,3422,1011,2720,988,2491,792,1315
1999,2191,3502,3403,997,2720,997,2439,750,1297
2004,2200,3507,3380,1025,2711,955,2448,797,1292
2004,2209,3516,3385,1011,2734,978,2500,792,1301
2022,2237,3488,3413,959,2743,969,2444,726,1329
1985,2195,3497,3427,1081,2743,978,2477,773,1301
2004,2191,3502,3427,974,2711,950,2434,773,1315
1994,2195,3525,3394,1025,2739,983,2444,759,1297
2008,2214,3488,3399,950,2711,992,2481,750,1329
1994,2181,3493,3366,959,2720,992,2430,801,1325
1966,2200,3507,3389,978,2739,983,2453,764,1315
1994,2219,3493,3403,988,2725,974,2453,750,1292
1994,2195,3488,3352,1011,2739,1049,2444,778,1287
