2813,2865,2322,2223,2223,1573,2228,1980,1250,639
2832,2860,2327,2172,2223,1554,2247,1966,1278,639
2818,2851,2256,2219,2209,1559,2209,1952,1236,625
2841,2846,2247,2219,2223,1540,2223,1980,1198,620
2781,2869,2298,2172,2228,1540,2228,1975,1193,648
2795,2837,2345,2209,2228,1535,2247,1985,1254,653
2837,2865,2369,2200,2242,1591,2228,1971,1245,630
2837,2846,2322,2195,2214,1568,2252,1994,1325,620
2804,2837,2402,2186,2247,1554,2233,1971,1306,644
2818,2846,2270,2191,2228,1587,2223,1994,1236,597
2818,2846,2373,2195,2247,1573,2209,1985,1231,611
2814,2869,2355,2195,2247,1568,2242,1994,1268,611
2809,2869,2345,2191,2237,1559,2252,1975,1240,615
2800,2846,2294,2214,2233,1582,2242,1947,1236,642
2813,2869,2284,2205,2233,1521,2233,1966,1245,611
2804,2841,2388,2205,2237,1549,2247,1971,1259,644
2790,2837,2256,2200,2228,1563,2228,1985,1221,639
2818,2860,2388,2209,2219,1573,2237,1980,1221,662
2832,2865,2303,2200,2237,1549,2242,1943,1259,646
2827,2837,2303,2191,2219,1540,2237,1966,1245,630
2786,2841,2341,2186,2219,1535,2228,1975,1198,646
2790,2855,2308,2214,2233,1610,2214,1989,1198,658
2804,2846,2266,2223,2242,1512,2242,1975,1250,597
2781,2827,2359,2186,2242,1521,2233,1989,1259,658
2814,2841,2317,2181,2233,1591,2223,1980,1212,634
2809,2846,2364,2167,2247,1563,2228,1975,1268,644
2813,2865,2369,2214,2242,1530,2237,1966,1278,625
2776,2869,2341,2172,2219,1559,2214,1943,1264,667
2818,2837,2416,2186,2237,1582,2247,1975,1212,653
2790,2851,2397,2181,2247,1573,2233,1980,1264,653
2813,2865,2280,2191,2252,1573,2252,1957,1264,620
2818,2851,2383,2181,2233,1530,2242,1957,1245,606
2813,2869,2383,2181,2242,1582,2233,1957,1268,639
2818,2860,2280,2181,2228,1559,2223,1961,1268,639
2814,2869,2289,2200,2205,1573,2237,1961,1254,644
2795,2865,2392,2200,2247,1554,2247,1966,1273,625
2800,2855,2355,2219,2237,1521,2237,1952,1226,639
2818,2869,2355,2181,2223,1521,2237,1971,1236,620
2804,2874,2270,2214,2233,1544,2256,1961,1268,630
2795,2846,2359,2195,2209,1568,2233,1961,1264,639
2790,2851,2350,2176,2223,1563,2205,1971,1217,648
2809,2865,2294,2223,2228,1544,2228,1971,1273,634
2809,2832,2308,2176,2233,1549,2237,1980,1268,644
2800,2846,2341,2205,2233,1544,2219,1985,1268,630
2822,2841,2303,2167,2228,1559,2214,1947,1221,601
2809,2865,2355,2191,2228,1591,2219,1957,1207,639
2822,2846,2322,2186,2228,1563,2219,1957,1259,615
2832,2865,2322,2200,2237,1568,2247,1985,1207,615
2795,2869,2355,2181,2252,1559,2233,1966,1254,620
2818,2855,2345,2181,2237,1591,2242,1980,1278,653
2832,2846,2378,2181,2242,1591,2242,1961,1254,634
2814,2860,2397,2219,2219,1559,2214,1966,1278,615
2818,2855,2312,2186,2247,1573,2242,1966,1254,615
2818,2841,2364,2172,2252,1573,2228,1933,1217,620
2804,2860,2312,2158,2233,1554,2252,1980,1226,658
2809,2860,2298,2209,2219,1554,2214,1957,1268,625
2818,2837,2266,2186,2228,1559,2252,1971,1278,648
